Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,Season Type,PER,Adjusted Salary
601,Mamadi Diakite,26,CLE,C,22.0,2.0,8.0,1.1,2.3,0.48,0.3,1.0,0.333,0.8,1.3,0.586,0.55,0.1,0.1,1.0,0.4,1.0,1.4,0.4,0.2,0.4,0.5,1.2,2.6,Unknown,diakima01,Regular,9.0,538994.56
602,Isaiah Mobley,23,CLE,PF,12.0,0.0,7.0,1.0,2.3,0.429,0.3,0.7,0.375,0.8,1.7,0.45,0.482,0.3,0.3,1.0,0.3,1.3,1.7,0.3,0.3,0.3,0.1,0.7,2.6,Unknown,mobleis01,Regular,14.1,538994.56
603,Jaden Springer,20,PHI,SG,16.0,2.0,5.6,1.1,2.2,0.486,0.1,0.3,0.4,0.9,1.9,0.5,0.514,0.4,0.5,0.75,0.4,0.5,0.9,0.5,0.4,0.2,0.2,0.9,2.6,Unknown,sprinja01,Regular,17.2,2250916.66
604,Frank Kaminsky,29,2TM,C,36.0,0.0,6.5,0.9,1.8,0.492,0.4,0.9,0.394,0.5,0.8,0.6,0.595,0.4,0.4,0.875,0.2,1.3,1.4,0.9,0.2,0.1,0.3,0.6,2.5,Unknown,kaminfr01,Regular,15.3,2609218.28
605,Frank Kaminsky,29,ATL,C,26.0,0.0,6.8,1.0,1.7,0.568,0.4,0.9,0.478,0.5,0.8,0.667,0.693,0.4,0.5,0.833,0.1,1.3,1.4,0.8,0.2,0.0,0.3,0.8,2.7,Unknown,kaminfr01,Regular,14.9,2609218.28
606,Frank Kaminsky,29,HOU,C,10.0,0.0,5.9,0.6,1.9,0.316,0.2,1.0,0.2,0.4,0.9,0.444,0.368,0.4,0.4,1.0,0.4,1.2,1.6,1.1,0.1,0.3,0.0,0.1,1.8,Unknown,kaminfr01,Regular,16.6,2609218.28
607,Lester Quiñones,22,GSW,SG,4.0,0.0,4.5,0.5,1.3,0.4,0.5,1.0,0.5,0.0,0.3,0.0,0.6,1.0,1.5,0.667,0.3,0.5,0.8,0.5,0.3,0.0,1.3,0.0,2.5,Unknown,quinole01,Regular,8.6,137059.98
608,Ish Smith,34,DEN,PG,43.0,0.0,9.3,1.2,3.0,0.397,0.0,0.3,0.167,1.2,2.8,0.42,0.405,0.0,0.1,0.5,0.1,1.1,1.3,2.3,0.2,0.2,1.0,0.8,2.5,Unknown,smithis01,Regular,6.5,4699471.69
609,John Butler,20,POR,C,19.0,1.0,11.6,0.9,2.8,0.321,0.4,1.8,0.229,0.5,0.9,0.5,0.396,0.2,0.2,0.75,0.2,0.7,0.9,0.6,0.4,0.5,0.1,1.2,2.4,Unknown,butlejo01,Regular,5.7,532798.5
610,Jeff Dowtin,25,TOR,PG,25.0,0.0,10.4,1.0,2.3,0.439,0.2,0.6,0.313,0.8,1.6,0.488,0.482,0.2,0.4,0.667,0.2,0.7,0.9,1.2,0.4,0.1,0.2,0.5,2.4,Unknown,dowtije01,Regular,9.9,538994.56
